shipment_id,nombre_evento,timestamp_evento,nodo,area_responsable
SHP000001,pedido_creado,2026-03-08 00:49:26.000000,FC_CDMX_01,Promesa
SHP000001,ready_to_ship,2026-03-08 03:36:00.463150,FC_CDMX_01,Fulfillment
SHP000001,salida_fulfillment,2026-03-08 05:55:08.511015,FC_CDMX_01,Fulfillment
SHP000001,llegada_sortation,2026-03-08 14:45:22.156971,SORT_MTY_01,Middle Mile
SHP000001,salida_sortation,2026-03-09 00:53:44.555278,SORT_MTY_01,Middle Mile
SHP000001,llegada_last_mile,2026-03-09 07:09:11.071431,LM_CDMX_SUR,Last Mile
SHP000001,out_for_delivery,2026-03-09 13:49:49.857088,LM_CDMX_SUR,Last Mile
SHP000001,entregado,2026-03-09 17:41:15.919895,LM_CDMX_SUR,Last Mile
SHP000002,pedido_creado,2026-01-22 13:27:48.000000,FC_PUE_01,Promesa
SHP000002,ready_to_ship,2026-01-22 16:38:50.226656,FC_PUE_01,Fulfillment
SHP000002,salida_fulfillment,2026-01-22 17:14:05.933331,FC_PUE_01,Fulfillment
SHP000002,llegada_sortation,2026-01-23 05:37:54.940035,SORT_CDMX_01,Middle Mile
SHP000002,salida_sortation,2026-01-23 14:19:51.555347,SORT_CDMX_01,Middle Mile
SHP000002,llegada_last_mile,2026-01-23 22:32:00.859958,LM_QRO,Last Mile
SHP000002,out_for_delivery,2026-01-24 02:21:58.220398,LM_QRO,Last Mile
SHP000002,entregado,2026-01-24 06:16:38.664781,LM_QRO,Last Mile
SHP000003,pedido_creado,2026-02-11 01:33:07.000000,FC_PUE_01,Promesa
SHP000003,ready_to_ship,2026-02-11 05:21:05.172279,FC_PUE_01,Fulfillment
SHP000003,salida_fulfillment,2026-02-11 08:17:55.955635,FC_PUE_01,Fulfillment
SHP000003,llegada_sortation,2026-02-11 17:10:19.122849,SORT_CDMX_01,Middle Mile
SHP000003,salida_sortation,2026-02-12 02:45:54.867489,SORT_CDMX_01,Middle Mile
SHP000003,llegada_last_mile,2026-02-12 07:42:02.103787,LM_QRO,Last Mile
SHP000003,out_for_delivery,2026-02-12 14:24:43.896740,LM_QRO,Last Mile
SHP000003,entregado,2026-02-11 19:54:51.438434,LM_QRO,Last Mile
SHP000004,pedido_creado,2026-02-03 08:50:28.000000,FC_PUE_01,Promesa
SHP000004,ready_to_ship,2026-02-03 14:16:42.195876,FC_PUE_01,Fulfillment
SHP000004,salida_fulfillment,2026-02-03 17:09:36.535616,FC_PUE_01,Fulfillment
SHP000004,llegada_sortation,2026-02-03 22:07:58.413913,SORT_MTY_01,Middle Mile
SHP000004,salida_sortation,2026-02-04 04:28:17.154657,SORT_MTY_01,Middle Mile
SHP000004,llegada_last_mile,2026-02-04 14:47:33.119159,LM_CDMX_NORTE,Last Mile
SHP000004,out_for_delivery,2026-02-04 20:16:47.808035,LM_CDMX_NORTE,Last Mile
SHP000004,entregado,2026-02-04 02:13:32.636085,LM_CDMX_NORTE,Last Mile
SHP000005,pedido_creado,2026-03-24 14:48:18.000000,FC_GDL_01,Promesa
SHP000005,ready_to_ship,2026-03-24 20:58:09.284122,FC_GDL_01,Fulfillment
SHP000005,salida_fulfillment,2026-03-24 23:51:25.178577,FC_GDL_01,Fulfillment
SHP000005,llegada_sortation,2026-03-25 10:32:23.967742,SORT_MTY_01,Middle Mile
SHP000005,salida_sortation,2026-03-25 17:59:25.006152,SORT_MTY_01,Middle Mile
SHP000005,llegada_last_mile,2026-03-26 01:22:07.614539,LM_CDMX_NORTE,Last Mile
SHP000005,out_for_delivery,2026-03-26 07:21:56.722728,LM_CDMX_NORTE,Last Mile
SHP000005,entregado,2026-03-26 09:20:58.019043,LM_CDMX_NORTE,Last Mile
SHP000006,pedido_creado,2026-01-08 23:37:03.000000,FC_MTY_01,Promesa
SHP000006,ready_to_ship,2026-01-09 04:28:24.527125,FC_MTY_01,Fulfillment
SHP000006,salida_fulfillment,2026-01-09 07:28:37.245557,FC_MTY_01,Fulfillment
SHP000006,llegada_sortation,2026-01-09 16:33:42.914628,SORT_CDMX_01,Middle Mile
SHP000006,salida_sortation,2026-01-10 00:12:28.458882,SORT_CDMX_01,Middle Mile
SHP000006,llegada_last_mile,2026-01-10 09:17:31.531421,LM_PUE,Last Mile
SHP000006,out_for_delivery,2026-01-10 20:04:41.985364,LM_PUE,Last Mile
SHP000006,entregado,2026-01-10 22:26:22.438006,LM_PUE,Last Mile
SHP000007,pedido_creado,2026-03-06 12:51:18.000000,FC_PUE_01,Promesa
SHP000007,ready_to_ship,2026-03-06 18:02:18.677591,FC_PUE_01,Fulfillment
SHP000007,salida_fulfillment,2026-03-06 18:32:18.677591,FC_PUE_01,Fulfillment
SHP000007,llegada_sortation,2026-03-07 01:52:46.221202,SORT_MTY_01,Middle Mile
SHP000007,salida_sortation,2026-03-07 05:24:54.629088,SORT_MTY_01,Middle Mile
SHP000007,llegada_last_mile,2026-03-07 17:50:55.884771,LM_QRO,Last Mile
SHP000007,out_for_delivery,2026-03-07 20:48:44.339199,LM_QRO,Last Mile
SHP000007,entregado,2026-03-08 00:11:43.185258,LM_QRO,Last Mile
SHP000008,pedido_creado,2026-02-14 08:31:21.000000,FC_MTY_01,Promesa
SHP000008,ready_to_ship,2026-02-14 14:02:12.241464,FC_MTY_01,Fulfillment
SHP000008,salida_fulfillment,2026-02-14 16:21:04.487889,FC_MTY_01,Fulfillment
SHP000008,llegada_sortation,2026-02-15 04:28:00.598931,SORT_CDMX_01,Middle Mile
SHP000008,salida_sortation,2026-02-15 12:51:56.526914,SORT_CDMX_01,Middle Mile
SHP000008,llegada_last_mile,2026-02-15 19:56:16.210612,LM_CDMX_SUR,Last Mile
SHP000008,out_for_delivery,2026-02-16 06:33:22.126861,LM_CDMX_SUR,Last Mile
SHP000008,entregado,2026-02-15 01:29:50.589302,LM_CDMX_SUR,Last Mile
SHP000009,pedido_creado,2026-03-10 11:21:35.000000,FC_MTY_01,Promesa
SHP000009,ready_to_ship,2026-03-10 15:34:07.281549,FC_MTY_01,Fulfillment
SHP000009,salida_fulfillment,2026-03-10 17:16:46.388866,FC_MTY_01,Fulfillment
SHP000009,llegada_sortation,2026-03-11 02:38:18.101193,SORT_GDL_01,Middle Mile
SHP000009,salida_sortation,2026-03-11 13:14:53.449777,SORT_GDL_01,Middle Mile
SHP000009,llegada_last_mile,2026-03-11 21:53:34.789142,LM_GDL,Last Mile
SHP000009,out_for_delivery,2026-03-12 04:14:34.030189,LM_GDL,Last Mile
SHP000009,entregado,2026-03-12 07:21:24.021168,LM_GDL,Last Mile
SHP000010,pedido_creado,2026-02-07 04:11:42.000000,FC_CDMX_01,Promesa
SHP000010,ready_to_ship,2026-02-07 09:18:55.657512,FC_CDMX_01,Fulfillment
SHP000010,salida_fulfillment,2026-02-07 13:46:43.329117,FC_CDMX_01,Fulfillment
SHP000010,llegada_sortation,2026-02-07 21:12:05.830697,SORT_GDL_01,Middle Mile
SHP000010,salida_sortation,2026-02-08 04:50:31.662137,SORT_GDL_01,Middle Mile
SHP000010,llegada_last_mile,2026-02-08 12:44:16.775024,LM_QRO,Last Mile
SHP000010,out_for_delivery,2026-02-08 19:18:48.608573,LM_QRO,Last Mile
SHP000010,entregado,2026-02-09 02:35:56.932838,LM_QRO,Last Mile
SHP000011,pedido_creado,2026-01-23 13:43:14.000000,FC_PUE_01,Promesa
SHP000011,ready_to_ship,2026-01-23 16:57:33.386107,FC_PUE_01,Fulfillment
SHP000011,salida_fulfillment,2026-01-23 19:02:10.207922,FC_PUE_01,Fulfillment
SHP000011,llegada_sortation,2026-01-24 01:33:21.137114,SORT_GDL_01,Middle Mile
SHP000011,salida_sortation,2026-01-24 10:04:23.139153,SORT_GDL_01,Middle Mile
SHP000011,llegada_last_mile,2026-01-24 23:11:34.472653,LM_PUE,Last Mile
SHP000011,out_for_delivery,2026-01-25 09:31:14.804627,LM_PUE,Last Mile
SHP000011,entregado,2026-01-25 11:29:59.965989,LM_PUE,Last Mile
SHP000012,pedido_creado,2026-01-21 23:27:20.000000,FC_MTY_01,Promesa
SHP000012,ready_to_ship,2026-01-22 03:40:44.496327,FC_MTY_01,Fulfillment
SHP000012,salida_fulfillment,2026-01-22 04:47:36.651781,FC_MTY_01,Fulfillment
SHP000012,llegada_sortation,2026-01-22 11:43:23.805503,SORT_QRO_01,Middle Mile
SHP000012,salida_sortation,2026-01-22 19:46:00.204451,SORT_QRO_01,Middle Mile
SHP000012,llegada_last_mile,2026-01-23 06:53:53.899049,LM_GDL,Last Mile
SHP000012,out_for_delivery,2026-01-23 14:19:25.005667,LM_GDL,Last Mile
SHP000012,entregado,2026-01-23 22:03:04.988643,LM_GDL,Last Mile
SHP000013,pedido_creado,2026-02-22 15:54:29.000000,FC_QRO_01,Promesa
SHP000013,ready_to_ship,2026-02-22 18:26:02.954882,FC_QRO_01,Fulfillment
SHP000013,salida_fulfillment,2026-02-22 19:06:49.311075,FC_QRO_01,Fulfillment
SHP000013,llegada_sortation,2026-02-23 04:40:46.279984,SORT_QRO_01,Middle Mile
SHP000013,salida_sortation,2026-02-23 11:55:59.314073,SORT_QRO_01,Middle Mile
SHP000013,llegada_last_mile,2026-02-23 20:41:04.636857,LM_CDMX_SUR,Last Mile
SHP000013,out_for_delivery,2026-02-24 06:58:18.244280,LM_CDMX_SUR,Last Mile
SHP000013,entregado,2026-02-24 10:36:42.066285,LM_CDMX_SUR,Last Mile
SHP000014,pedido_creado,2026-02-19 19:16:56.000000,FC_PUE_01,Promesa
SHP000014,ready_to_ship,2026-02-19 23:59:46.465270,FC_PUE_01,Fulfillment
SHP000014,salida_fulfillment,2026-02-20 00:29:46.465270,FC_PUE_01,Fulfillment
